OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
1627,2001115,"Lake Tahoe Public Access, Augmentation",2001/08/30 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,Tahoe City Public Utility District,Placer,188135,73149.83,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1642,1186.06970287,58084.78515625,1531.57739931913,32dd8bf6-ce3a-4d01-b638-e613b47d6cf1
1628,2001116,"Los Banos Wildlife Area, Mud Slough Unit, Expansion 3",2001/08/30 00:00:00+00,Acquisition,Fee Title,Inland Wetlands Conservation Program,Interior Wetlands,California Department of Fish and Wildlife,Merced,330000,313028.51,67, ,1643,2269.10545836,460122.83203125,2846.59185463434,4b6d85c3-ee54-4440-8449-8565f90a9b6f
1629,2001117,Marina Coastal Dunes,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Monterey Peninsula Regional Park District,Monterey,1505000,3501840,51, ,1644,1795.5783393,296311.64453125,2241.55300549038,5ff2bad4-f4b1-4f7a-af24-88c3bfeb1496
1630,2001119,Oceanside Linkages,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,City of Oceanside,San Diego,710000,1626136,36, ,1645,1904.07011324,261562.8984375,2275.77611857135,083fea7c-8d4a-4055-a070-24337e5ec7d6
1631,2001120,Old Dutch Cleanser Mine (Red Rock Canyon State Park),2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,California Department of Parks and Recreation,Kern,305000,0,280, ,1646,6629.86656675,1772095.0859375,8146.07485616263,28a587ce-1f24-4164-9692-17311a496492
1632,2001121,Peninsular Bighorn Sheep Ecological Reserve,2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Bighorn Sheep Habitat,California Department of Fish and Wildlife,Riverside,3020000,2568262.31,2386, ,1647,19211.0529121,17601351.7695313,23053.5932955798,8db55803-5d87-425a-8fd7-35bc6134d254
1633,2001123,Rasmussen Donation - Santa Monica Mountains Conservancy,2001/08/30 00:00:00+00,Acquisition,Fee Title,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(e),Santa Monica Mountains Conservancy,Los Angeles,2882000,5240000,151.21, ,1648,3751.13190905,935089.734375,4540.86123435954,4481333b-6283-46a0-a449-76cf65ab01e1
1634,2001124,"Redwoods to the Sea Corridor, Expansion 2",2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Forest Habitat,Save-the-Redwoods League,Humboldt,230000,220736,280, ,1649,4782.21858723,1924676.49609375,6267.0174613302,34844403-8b9e-42c6-ae53-017e42bea0e5
1635,2001125,"Riparian Habitat Restoration, American River Parkway",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,County of Sacramento,Sacramento,260000,630000,50,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1650,85392.8968282,4538840.38671875,109317.097981182,9363adea-7bb6-4309-a544-620dcd143713
1636,2001126,"Riparian Habitat Restoration, Cache Creek, Lower Reach",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,Cache Creek Conservancy,Yolo,595000,1946799.98,1100,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1651,56285.8948128,5570591.4765625,72155.4668109632,727a395f-fd64-45e2-9d66-38a51b4aad59
1637,2001127,"Riparian Habitat Restoration, Lower Colorado River (Imperial Division)",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,Bureau of Reclamation,Imperial,1400000,3268495,2000,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1652,42779.4896309,8951952.0703125,51062.2176192633,e7365ae5-7d3e-48de-97b9-869bd42bb1bc
1638,2001128,Sacramento Prairie Vernal Pool Preserve,2001/08/30 00:00:00+00,Acquisition,Fee Title,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(b),Sacramento Valley Open Space Conservancy,Sacramento,1108500,2675736,282, ,1653,4577.57898799,1634866.62890625,5852.73062825366,c5048e19-f6f3-46d6-a5d4-23f40178dac8
1639,2001129,"San Jacinto Wildlife Area, Expansion 20",2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Riverside,6122000,7101969.68,922, ,1654,10004.0210271,5515554.23046875,12057.8831957626,2a2ef719-233a-4eec-8f2c-a0abc3a46f42
1640,2001131,"San Joaquin River Parkway, Lewis S. Eaton Trail",2001/08/30 00:00:00+00,Development,Public Access,Public Access Program,Wildlife Related Access,City of Fresno,Fresno,578430,758630,1,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1655,179.975890244,3167.40625,225.118983708816,644ed36f-8a2a-418b-a2fa-25e5a99a2873
1641,2001133,"San Joaquin River Riparian Habitat, SJRC 10, (Ledger Island)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,San Joaquin River Conservancy,Madera,3560000,3557671.08,190.55, ,1656,3469.18100698,1154731.1171875,4345.28176477016,10f9d539-c338-4337-9d5d-c43264bba763
1642,2001134,"San Joaquin River Riparian Habitat, SJRC 11, (Spano)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,San Joaquin River Conservancy,Fresno,892600,7083484.5,360, ,1657,8005.54921625,3223730.35546875,10016.6047238135,7dc6e223-9196-478f-bce6-891111b99835
1643,2001135,"San Joaquin River Riparian Habitat, SJRC 6, (River Vista Partners)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,San Joaquin River Conservancy,Madera,3194880,3194880,176.66, ,1658,5390.04615778,1374822.57421875,6754.08520528333,0c5bf9d5-1e55-4e72-a84d-92d51f3c64d8
1644,2001136,"San Joaquin River Riparian Habitat, SJRC 7, (Finch)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,California Department of Fish and Wildlife,Fresno,510000,506832.5,20, ,1659,1218.28802748,131948.328125,1525.14583623819,8c0bbfe5-7f6c-4cfa-b4a7-8277abf7da8d
1645,2001137,"San Joaquin River Riparian Habitat, SJRC 8, (Glaspey)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,California Department of Fish and Wildlife,Fresno,897000,890725.75,20, ,1660,1212.79422169,130107.6953125,1518.26174193044,372e282f-eee2-4184-a928-053777063251
1646,2001138,"San Joaquin River Riparian Habitat, SJRC 9, (Cobb/Proctor/Broadwell)",2001/08/30 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Riparian Habitat,San Joaquin River Conservancy,Madera,3423880,4912856.5,261.54, ,1661,5414.69847249,2064634.08984375,6774.98492723578,9fbea8a3-65cd-407a-839e-2ee567dcac73
1647,2001139,"Stone Corral Ecological Reserve, Expansion 2",2001/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Vernal Pool Habitat,California Department of Fish and Wildlife,Tulare,11000,75804,15, ,1662,1226.40128917,130492.9765625,1526.24945723317,a26f2899-e7cf-47db-b2b6-3bbcf348b892
1648,2001140,"Wetland Habitat Restoration, Coast Cattle Ranch",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Merced,23900,34637.76,286,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1663,4325.85164277,1513167.96484375,5435.52349563476,1e684755-755b-4c30-82e3-11cefc6d44a5
1649,2001141,"Wetland Habitat Restoration, Wingsetter Ranch",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Stanislaus,49000,101058.55,143,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1664,3886.42473812,1077421.61328125,4896.10613182599,2b7c552b-0694-4405-839b-a369b28016b7
1650,2001143,"Wetland Habitat Restoration, East Grasslands (San Felipe Ranch)",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Merced,110000,351856.45,920,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1665,10968.4071834,7888013.0078125,13783.7300656826,e8f33781-6a67-4c50-b0c6-3727fc4ec399
1651,2001144,"Wetland Habitat Restoration, Honey Lake Valley (Wild Goose Club)",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Interior Wetlands,"Ducks Unlimited, Inc.",Lassen,76000,177579,80,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1666,6069.11947479,2678204.8515625,7941.98575669614,ece4b73c-9f97-4be1-8205-ca8ca85b988f
1652,2001145,"Wetland Habitat Restoration, Joice Island Wildlife Area",2001/08/30 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,California Waterfowl Association,Solano,134600,124320.31,1800,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1667,20892.974981,10551904.0976563,26595.9000785609,5ead9a54-a980-44c4-a72d-0fce46786732
1653,2001146,"Yolo Bypass Wildlife Area, Expansion 3",2001/08/30 00:00:00+00,Acquisition,Fee Title,Inland Wetlands Conservation Program,Interior Wetlands,California Department of Fish and Wildlife,Yolo,14900000,16100000,12123, ,1668,63480.7269693,83291812.15625,81178.3536744903,89b06178-c1cb-4eda-a0c6-bba34a75a9f7
1654,2001151,"Yolo Bypass Wildlife Area, Expansion 4",2001/08/30 00:00:00+00,Acquisition,Fee Title,Inland Wetlands Conservation Program,Interior Wetlands,California Department of Fish and Wildlife,Yolo,1730000,1688220,685, ,1669,9818.99186162,4384681.2265625,12558.7089025847,829db48e-e7f4-4a0d-9c15-a91b0b055ec8
1655,2001152,Alberhill Conservation Area,2001/11/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,County of Riverside,Riverside,6010000,5502300,736.35, ,1670,16074.4916181,4189443.04296875,19350.1860973189,384967f2-7db6-458c-8f35-6bda4c115e86
1656,2001154,"Allensworth Ecological Reserve, Expansion 24",2001/11/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,Tulare,2000,8915,20, ,1671,1110.99679647,103350.57421875,1372.68492228305,91a15df4-737b-4fb7-a5eb-cd305f776b5f
1657,2001156,"Carrizo Plain Ecological Reserve, Expansion 3",2001/11/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Fish and Wildlife,San Luis Obispo,4286600,4340299.07,14314, ,1672,52079.7112982,62372865.2148438,63723.855013763,5bba4a12-c54d-47a4-935d-6e45d6246884
1658,2001157,Chuckwalla Bench Wildlife Area,2001/11/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Desert Habitat,California Department of Fish and Wildlife,Riverside,27000,27000,70, ,1673,2828.42895868,407185.921875,3396.36100364439,7c9ca54d-01dd-49d2-8952-684292752a8e
1659,2001158,Cosumnes River Preserve Public Access Augmentation,2001/11/28 00:00:00+00,Development,Public Access,Public Access Program,Wildlife Related Access,Bureau of Land Management,Sacramento,125835,192435,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1674,595.431603113,35826.70703125,758.976399573989,ff95147a-f40b-44b3-b7b8-1cf5e9d312aa
1660,2001159,"Daugherty Hill Wildlife Area, Expansion 9",2001/11/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Oak Woodland/Oak Savannah Habitat,California Department of Fish and Wildlife,Butte,1388200,1484500,1331, ,1675,10333.6036004,9239252.58203125,13379.0832804936,4c4f5cd8-58e7-448e-abb6-95adf0f9bcdc
1661,2001161,Eagle Ridge Conservation Easement,2001/11/28 00:00:00+00,Acquisition,Conservation Easement,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(b),California Department of Fish and Wildlife,Calaveras,1440000,2605555,3009, ,1676,24973.0862227,19674832.9101563,31853.981855431,9ae566b0-87ee-4bb7-9871-6191ec38b7da
1662,2001162,"East Merced Vernal Pool Grassland Preserve, Expansion 4",2001/11/28 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Vernal Pool Habitat,The Nature Conservancy,Merced,3852500,3842266.13,7620, ,1677,26809.5935642,48611720.5703125,33811.8164207506,3245b504-1c7d-477b-b450-5c8da5261bee
1663,2001163,Hart Ranch Donation,2001/11/28 00:00:00+00,Acquisition,Fee Title,Natural Heritage Preservation Tax Credit Program,Tax Credit - PRC 37015(e),California Department of Parks and Recreation,Lake,20350,37000,22, ,1678,1260.6982985,169726.92578125,1623.71500326164,fcf93791-d789-475c-a245-95a84b0b3bc9
1664,2001164,Horseshoe Lake Fishing Pier,2001/11/28 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access,City of Chico,Butte,89270,111405.92,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1679,884.84881735,60760.41015625,1151.50986484225,20933f0f-763c-4df0-bd23-a9dff88e42c9
1665,2001165,"Humboldt Bay Wildlife Area, Jacoby Creek/Gannon Slough Unit, Expansion 2",2001/11/28 00:00:00+00,Acquisition,Conservation Easement,California Riparian Habitat Conservation Program,Riparian Habitat,Jacoby Creek Land Trust,Humboldt,75000,68000,10, ,1680,769.500277471,58976.16796875,1017.1623393235,9ca8058c-72b3-4e71-a31d-d855c44b46aa
1666,2001166,"Mattole River Ecological Reserve, Expansion 10",2001/11/28 00:00:00+00,Acquisition,Fee Title,California Riparian Habitat Conservation Program,Forest Habitat,"Sanctuary Forest, Inc.",Mendocino,606000,599953.66,40, ,1681,2115.53682211,274849.32421875,2764.83862585834,02694426-22a7-4c91-9bcc-375922b1ead6
1667,2001167,"Merced River Salmon Habitat Preservation Project, Robinson Cattle Company",2001/11/28 00:00:00+00,Acquisition,Conservation Easement,California Riparian Habitat Conservation Program,Salmonid/Steelhead Habitat,California Department of Fish and Wildlife,Merced,355000,339563,310, ,1682,6726.49213338,1316339.68359375,8483.06431146369,f532a37f-cb77-4bcd-86a6-83549c0a1ecb
1668,2001168,Morro Bay Dunes,2001/11/28 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,California Department of Parks and Recreation,San Luis Obispo,0,1500000,40, ,1683,2365.68223804,312267.453125,2903.00436046189,90c31765-d420-4db1-b9dc-4c4c50729115
1669,2001169,"Riparian Habitat Restoration, Lower Owens River Saltcedar Control",2001/11/28 00:00:00+00,Development,Restoration/Enhancement,California Riparian Habitat Conservation Program,Riparian Habitat,County of Inyo,Inyo,490000,990000,2184,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),1684,128255.3858,10430869.1171875,160202.203090449,d7c9ec55-ca6c-4a78-b670-ed05b891d0ca
